level0,level1,level2
"Arts & Entertainment",Aquarium,empty
"Arts & Entertainment",Arcade,empty
"Arts & Entertainment","Art Gallery",empty
"Arts & Entertainment","Bowling Alley",empty
"Arts & Entertainment",Casino,empty
"Arts & Entertainment","Comedy Club",empty
"Arts & Entertainment","Concert Hall",empty
"Arts & Entertainment",empty,empty
"Arts & Entertainment","General Entertainment",empty
"Arts & Entertainment","Historic Site",empty
"Arts & Entertainment","Movie Theater",empty
"Arts & Entertainment","Movie Theater","Indie Movie Theater"
"Arts & Entertainment","Movie Theater",Multiplex
"Arts & Entertainment",Museum,"Art Museum"
"Arts & Entertainment",Museum,empty
"Arts & Entertainment",Museum,"History Museum"
"Arts & Entertainment",Museum,Planetarium
"Arts & Entertainment",Museum,"Science Museum"
"Arts & Entertainment","Music Venue",empty
"Arts & Entertainment","Music Venue","Jazz Club"
"Arts & Entertainment","Music Venue","Piano Bar"
"Arts & Entertainment","Music Venue","Rock Club"
"Arts & Entertainment","Performing Arts Venue","Dance Studio"
"Arts & Entertainment","Performing Arts Venue",empty
"Arts & Entertainment","Performing Arts Venue","Indie Theater"
"Arts & Entertainment","Performing Arts Venue","Opera House"
"Arts & Entertainment","Performing Arts Venue",Theater
"Arts & Entertainment","Pool Hall",empty
"Arts & Entertainment","Public Art",empty
"Arts & Entertainment",Racetrack,empty
"Arts & Entertainment",Stadium,"Baseball Stadium"
"Arts & Entertainment",Stadium,"Basketball Stadium"
"Arts & Entertainment",Stadium,"Cricket Ground"
"Arts & Entertainment",Stadium,empty
"Arts & Entertainment",Stadium,"Football Stadium"
"Arts & Entertainment",Stadium,"Hockey Arena"
"Arts & Entertainment",Stadium,"Soccer Stadium"
"Arts & Entertainment",Stadium,Tennis
"Arts & Entertainment",Stadium,"Track Stadium"
"Arts & Entertainment","Theme Park",empty
"Arts & Entertainment","Water Park",empty
"Arts & Entertainment",Zoo,empty
"College & University","College Academic Building","College Arts Building"
"College & University","College Academic Building","College Communications Building"
"College & University","College Academic Building","College Engineering Building"
"College & University","College Academic Building","College History Building"
"College & University","College Academic Building","College Math Building"
"College & University","College Academic Building","College Science Building"
"College & University","College Academic Building","College Technology Building"
"College & University","College Academic Building",empty
"College & University","College Administrative Building",empty
"College & University","College Auditorium",empty
"College & University","College Bookstore",empty
"College & University","College Cafeteria",empty
"College & University","College Classroom",empty
"College & University","College Gym",empty
"College & University","College Lab",empty
"College & University","College Library",empty
"College & University","College Quad",empty
"College & University","College Rec Center",empty
"College & University","College Residence Hall",empty
"College & University","College Stadium","College Baseball Diamond"
"College & University","College Stadium","College Basketball Court"
"College & University","College Stadium","College Cricket Pitch"
"College & University","College Stadium","College Football Field"
"College & University","College Stadium","College Hockey Rink"
"College & University","College Stadium","College Soccer Field"
"College & University","College Stadium","College Tennis Court"
"College & University","College Stadium","College Track"
"College & University","College Stadium",empty
"College & University","College Theater",empty
"College & University","Community College",empty
"College & University",empty,empty
"College & University","Fraternity House",empty
"College & University","General College & University",empty
"College & University","Law School",empty
"College & University","Medical School",empty
"College & University","Sorority House",empty
"College & University","Student Center",empty
"College & University","Trade School",empty
"College & University",University,empty
Food,"Afghan Restaurant",empty
Food,"African Restaurant",empty
Food,"American Restaurant",empty
Food,"Arepa Restaurant",empty
Food,"Argentinian Restaurant",empty
Food,"Asian Restaurant",empty
Food,"Australian Restaurant",empty
Food,"Bagel Shop",empty
Food,Bakery,empty
Food,"BBQ Joint",empty
Food,"Brazilian Restaurant",empty
Food,"Breakfast Spot",empty
Food,Brewery,empty
Food,"Burger Joint",empty
Food,"Burrito Place",empty
Food,Caf̩,empty
Food,"Cajun / Creole Restaurant",empty
Food,"Caribbean Restaurant",empty
Food,"Chinese Restaurant",empty
Food,"Coffee Shop",empty
Food,"Cuban Restaurant",empty
Food,"Cupcake Shop",empty
Food,"Deli / Bodega",empty
Food,"Dessert Shop",empty
Food,"Dim Sum Restaurant",empty
Food,Diner,empty
Food,Distillery,empty
Food,"Donut Shop",empty
Food,"Dumpling Restaurant",empty
Food,"Eastern European Restaurant",empty
Food,empty,empty
Food,"Ethiopian Restaurant",empty
Food,"Falafel Restaurant",empty
Food,"Fast Food Restaurant",empty
Food,"Filipino Restaurant",empty
Food,"Fish & Chips Shop",empty
Food,"Food Truck",empty
Food,"French Restaurant",empty
Food,"Fried Chicken Joint",empty
Food,Gastropub,empty
Food,"German Restaurant",empty
Food,"Gluten-free Restaurant",empty
Food,"Greek Restaurant",empty
Food,"Hot Dog Joint",empty
Food,"Ice Cream Shop",empty
Food,"Indian Restaurant",empty
Food,"Indonesian Restaurant",empty
Food,"Italian Restaurant",empty
Food,"Japanese Restaurant",empty
Food,"Juice Bar",empty
Food,"Korean Restaurant",empty
Food,"Latin American Restaurant",empty
Food,"Mac & Cheese Joint",empty
Food,"Malaysian Restaurant",empty
Food,"Mediterranean Restaurant",empty
Food,"Mexican Restaurant",empty
Food,"Middle Eastern Restaurant",empty
Food,"Molecular Gastronomy Restaurant",empty
Food,"Mongolian Restaurant",empty
Food,"Moroccan Restaurant",empty
Food,"New American Restaurant",empty
Food,"Peruvian Restaurant",empty
Food,"Pizza Place",empty
Food,"Portuguese Restaurant",empty
Food,"Ramen /  Noodle House",empty
Food,Restaurant,empty
Food,"Salad Place",empty
Food,"Sandwich Place",empty
Food,"Scandinavian Restaurant",empty
Food,"Seafood Restaurant",empty
Food,"Snack Place",empty
Food,"Soup Place",empty
Food,"South American Restaurant",empty
Food,"Southern / Soul Food Restaurant",empty
Food,"Spanish Restaurant",empty
Food,"Spanish Restaurant","Paella Restaurant"
Food,Steakhouse,empty
Food,"Sushi Restaurant",empty
Food,"Swiss Restaurant",empty
Food,"Taco Place",empty
Food,"Tapas Restaurant",empty
Food,"Tea Room",empty
Food,"Thai Restaurant",empty
Food,"Turkish Restaurant",empty
Food,"Vegetarian / Vegan Restaurant",empty
Food,"Vietnamese Restaurant",empty
Food,Winery,empty
Food,"Wings Joint",empty
"Nightlife Spot",Bar,empty
"Nightlife Spot","Beer Garden",empty
"Nightlife Spot","Cocktail Bar",empty
"Nightlife Spot","Dive Bar",empty
"Nightlife Spot",empty,empty
"Nightlife Spot","Gay Bar",empty
"Nightlife Spot","Hookah Bar",empty
"Nightlife Spot","Hotel Bar",empty
"Nightlife Spot","Karaoke Bar",empty
"Nightlife Spot",Lounge,empty
"Nightlife Spot",Nightclub,empty
"Nightlife Spot","Other Nightlife",empty
"Nightlife Spot",Pub,empty
"Nightlife Spot","Sake Bar",empty
"Nightlife Spot",Speakeasy,empty
"Nightlife Spot","Sports Bar",empty
"Nightlife Spot","Strip Club",empty
"Nightlife Spot","Whisky Bar",empty
"Nightlife Spot","Wine Bar",empty
"Outdoors & Recreation","Athletic & Sport","Baseball Field"
"Outdoors & Recreation","Athletic & Sport","Basketball Court"
"Outdoors & Recreation","Athletic & Sport",empty
"Outdoors & Recreation","Athletic & Sport","Golf Course"
"Outdoors & Recreation","Athletic & Sport","Paintball Field"
"Outdoors & Recreation","Athletic & Sport","Skate Park"
"Outdoors & Recreation","Athletic & Sport","Skating Rink"
"Outdoors & Recreation","Athletic & Sport","Soccer Field"
"Outdoors & Recreation","Athletic & Sport","Tennis Court"
"Outdoors & Recreation","Athletic & Sport","Volleyball Court"
"Outdoors & Recreation",Beach,empty
"Outdoors & Recreation",Beach,"Surf Spot"
"Outdoors & Recreation",Bridge,empty
"Outdoors & Recreation",Campground,empty
"Outdoors & Recreation",Castle,empty
"Outdoors & Recreation",Cemetery,empty
"Outdoors & Recreation",City,empty
